epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0008,1.69922,3.56338,1.03548,0.00836,0.11063,0.02095,0.00494,1.49411,4.03538,0.95545,0.000225,0.000225,0.000225
2,48.292,1.47435,1.76857,0.97321,0.01071,0.10007,0.04609,0.01375,1.33654,3.79834,0.91138,0.000457921,0.000457921,0.000457921
3,70.8396,1.44776,1.44936,0.9628,0.02299,0.26476,0.14379,0.06894,1.3376,3.27652,0.90925,0.00068614,0.00068614,0.00068614
4,93.127,1.38473,1.32823,0.94004,0.03089,0.35192,0.18412,0.09029,1.49205,2.82273,0.9517,0.000909656,0.000909656,0.000909656
5,115.39,1.34724,1.24481,0.92321,0.03764,0.45392,0.23221,0.12397,1.44445,2.30969,0.96365,0.00112847,0.00112847,0.00112847
6,137.777,1.42252,1.21366,0.92128,0.89061,0.23342,0.27908,0.17352,1.25929,1.80379,0.91735,0.00118812,0.00118812,0.00118812
7,159.974,1.29885,1.15772,0.91966,0.92853,0.27491,0.30988,0.17799,1.35516,1.38565,0.92248,0.00117575,0.00117575,0.00117575
8,182.254,1.3417,1.14413,0.92074,0.87969,0.27666,0.31108,0.19264,1.26406,1.21099,0.91372,0.00116337,0.00116337,0.00116337
9,204.635,1.27572,1.10668,0.91542,0.86121,0.28964,0.33493,0.20652,1.27124,1.06107,0.92385,0.001151,0.001151,0.001151
10,227.157,1.24626,1.06369,0.90324,0.82214,0.30527,0.34862,0.21516,1.1769,1.01085,0.90162,0.00113863,0.00113863,0.00113863
11,249.49,1.24717,1.0477,0.90376,0.69192,0.33639,0.38991,0.24952,1.16576,0.94734,0.90428,0.00112625,0.00112625,0.00112625
12,271.745,1.30696,1.02147,0.89958,0.71021,0.38722,0.43323,0.26348,1.16323,0.92057,0.89041,0.00111388,0.00111388,0.00111388
13,293.986,1.23118,0.99707,0.89413,0.68746,0.44605,0.48753,0.29398,1.14954,0.88335,0.8956,0.0011015,0.0011015,0.0011015
14,316.382,1.24161,0.98586,0.89945,0.74526,0.46366,0.51841,0.32119,1.13033,0.8546,0.88892,0.00108913,0.00108913,0.00108913
15,338.64,1.20075,0.96711,0.88643,0.73468,0.45865,0.53992,0.33444,1.13191,0.84459,0.89508,0.00107675,0.00107675,0.00107675
16,360.653,1.19487,0.92724,0.88867,0.79396,0.54206,0.60825,0.37259,1.12612,0.79378,0.88732,0.00106437,0.00106437,0.00106437
17,382.654,1.16533,0.87499,0.88553,0.75954,0.52418,0.60057,0.36817,1.11655,0.79947,0.88817,0.001052,0.001052,0.001052
18,404.776,1.17504,0.84517,0.88255,0.68992,0.58038,0.5704,0.34417,1.0828,0.78848,0.88489,0.00103962,0.00103962,0.00103962
19,426.904,1.16418,0.81734,0.88129,0.8371,0.59847,0.69057,0.41535,1.12574,0.72626,0.88579,0.00102725,0.00102725,0.00102725
20,449.016,1.18851,0.81715,0.87783,0.78132,0.68134,0.69456,0.40206,1.11814,0.73383,0.88047,0.00101488,0.00101488,0.00101488
21,471.22,1.16197,0.79528,0.88205,0.61055,0.67165,0.68479,0.41458,1.11075,0.74881,0.88341,0.0010025,0.0010025,0.0010025
22,493.42,1.1319,0.76391,0.87842,0.73549,0.67102,0.70724,0.4312,1.11349,0.72146,0.88576,0.000990125,0.000990125,0.000990125
23,515.62,1.1414,0.75972,0.88068,0.73661,0.70137,0.72345,0.42646,1.08651,0.7135,0.88187,0.00097775,0.00097775,0.00097775
24,537.779,1.12108,0.72904,0.87513,0.74115,0.66081,0.68345,0.4165,1.08485,0.69806,0.88579,0.000965375,0.000965375,0.000965375
25,559.86,1.12096,0.74716,0.87981,0.76468,0.66124,0.67885,0.40678,1.0873,0.7089,0.88325,0.000953,0.000953,0.000953
26,582.001,1.11473,0.73405,0.87703,0.75842,0.61252,0.6847,0.4224,1.13226,0.71518,0.89447,0.000940625,0.000940625,0.000940625
27,604.359,1.11665,0.71657,0.87082,0.86885,0.68056,0.73216,0.43902,1.08833,0.66262,0.88723,0.00092825,0.00092825,0.00092825
28,626.606,1.11625,0.71015,0.87608,0.83622,0.69613,0.76279,0.46321,1.09395,0.65562,0.88329,0.000915875,0.000915875,0.000915875
29,648.585,1.10149,0.69292,0.87979,0.84539,0.67551,0.75669,0.46752,1.05941,0.63945,0.87555,0.0009035,0.0009035,0.0009035
30,670.788,1.09147,0.67682,0.86838,0.84257,0.67845,0.76087,0.4592,1.08448,0.63822,0.87838,0.000891125,0.000891125,0.000891125
31,692.909,1.09411,0.67937,0.86873,0.83937,0.69935,0.7663,0.48499,1.05422,0.64209,0.87717,0.00087875,0.00087875,0.00087875
32,715.041,1.0895,0.68125,0.8702,0.80185,0.72179,0.76135,0.47479,1.04297,0.6236,0.86848,0.000866375,0.000866375,0.000866375
33,737.194,1.05976,0.65599,0.86248,0.86102,0.72239,0.77736,0.47342,1.03403,0.62763,0.86976,0.000854,0.000854,0.000854
34,759.335,1.06104,0.64892,0.86356,0.78073,0.7306,0.76141,0.47427,1.0277,0.61784,0.86951,0.000841625,0.000841625,0.000841625
35,781.388,1.08362,0.6598,0.86287,0.74407,0.74158,0.76295,0.48039,1.04009,0.62151,0.8696,0.00082925,0.00082925,0.00082925
36,803.447,1.06828,0.66066,0.8639,0.80254,0.75185,0.75959,0.46538,1.06344,0.636,0.8771,0.000816875,0.000816875,0.000816875
37,825.571,1.08251,0.65993,0.8619,0.76578,0.74131,0.76828,0.47525,1.06242,0.61829,0.87623,0.0008045,0.0008045,0.0008045
38,848.526,1.06564,0.63973,0.86443,0.86074,0.70331,0.78307,0.4887,1.02859,0.61034,0.86903,0.000792125,0.000792125,0.000792125
39,870.78,1.06801,0.64484,0.87073,0.85958,0.70844,0.78544,0.48759,1.04406,0.61254,0.87271,0.00077975,0.00077975,0.00077975
40,892.872,1.06247,0.63376,0.85592,0.83928,0.72088,0.78819,0.48409,1.11324,0.62859,0.88087,0.000767375,0.000767375,0.000767375
41,914.967,1.0627,0.63308,0.85774,0.84659,0.71332,0.78406,0.47703,1.07806,0.61419,0.87727,0.000755,0.000755,0.000755
42,937.014,1.04598,0.62441,0.8627,0.86635,0.72746,0.79095,0.48814,1.02429,0.58695,0.86788,0.000742625,0.000742625,0.000742625
43,959.166,1.04554,0.61207,0.85588,0.85999,0.74094,0.79769,0.50502,1.00988,0.59072,0.86493,0.00073025,0.00073025,0.00073025
44,981.386,1.02857,0.60327,0.85867,0.84949,0.72244,0.78879,0.48839,1.03688,0.59687,0.86833,0.000717875,0.000717875,0.000717875
45,1003.42,1.04507,0.62283,0.85792,0.8249,0.73576,0.79312,0.49415,1.04377,0.59663,0.86834,0.0007055,0.0007055,0.0007055
46,1025.56,1.03362,0.60523,0.85659,0.86913,0.76582,0.8047,0.50623,1.02324,0.5766,0.86615,0.000693125,0.000693125,0.000693125
47,1047.73,1.04048,0.6103,0.85873,0.84475,0.73136,0.78357,0.49176,1.02403,0.58622,0.86779,0.00068075,0.00068075,0.00068075
48,1069.94,1.05257,0.61523,0.85147,0.85899,0.7617,0.80492,0.49978,1.01689,0.57331,0.8655,0.000668375,0.000668375,0.000668375
