epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3186,0.97281,1.52856,0.85662,0.3825,0.49745,0.42596,0.26381,0.96599,1.3037,0.86452,0.000408333,0.000408333,0.000408333
2,130.947,0.99826,0.84819,0.87246,0.39847,0.57725,0.41014,0.27961,0.85402,0.89888,0.86363,0.000819555,0.000819555,0.000819555
3,182.9,0.96803,0.90544,0.87268,0.62324,0.55198,0.56619,0.33887,1.06647,1.03605,0.8866,0.00122528,0.00122528,0.00122528
4,238.815,1.02915,0.81433,0.88992,0.60659,0.70293,0.70396,0.42749,0.975,0.80891,0.88377,0.00122525,0.00122525,0.00122525
5,290.454,1.01094,0.69982,0.87954,0.71928,0.71735,0.76858,0.47519,0.88939,0.64613,0.85874,0.001217,0.001217,0.001217
6,347.48,0.89685,0.62595,0.86865,0.74222,0.75113,0.76578,0.51551,0.80714,0.61991,0.84525,0.00120875,0.00120875,0.00120875
7,399.064,0.98253,0.58666,0.86913,0.79795,0.77377,0.75682,0.48229,0.92595,0.59088,0.86153,0.0012005,0.0012005,0.0012005
8,450.457,0.96645,0.57699,0.87008,0.76212,0.73816,0.80535,0.50966,0.92854,0.56237,0.86169,0.00119225,0.00119225,0.00119225
9,501.535,0.97593,0.57122,0.87979,0.82948,0.71969,0.81121,0.51298,0.8538,0.57361,0.8515,0.001184,0.001184,0.001184
10,553.014,0.89721,0.55318,0.85869,0.86415,0.75051,0.82699,0.54746,0.76515,0.52187,0.84104,0.00117575,0.00117575,0.00117575
11,610.21,0.84775,0.54682,0.85032,0.84848,0.79725,0.83965,0.54503,0.76361,0.49761,0.83767,0.0011675,0.0011675,0.0011675
12,661.058,0.85754,0.51508,0.84104,0.82556,0.80115,0.83932,0.55322,0.79942,0.48641,0.83797,0.00115925,0.00115925,0.00115925
13,718.724,0.82466,0.50372,0.84838,0.81491,0.78654,0.84398,0.5729,0.79498,0.48291,0.84131,0.001151,0.001151,0.001151
14,776.166,0.85962,0.51709,0.84176,0.90249,0.79724,0.84554,0.58646,0.79427,0.50372,0.83737,0.00114275,0.00114275,0.00114275
15,827.624,0.85715,0.51311,0.84437,0.91746,0.75427,0.84793,0.60998,0.76085,0.45522,0.83601,0.0011345,0.0011345,0.0011345
