epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7599,1.29633,1.5281,1.0049,0.51207,0.51141,0.44198,0.25016,1.24431,0.97611,1.04025,0.06755,0.000327778,0.000327778
2,159.031,1.15033,0.72365,0.95464,0.49008,0.56913,0.51139,0.29386,1.18064,1.30795,1.03654,0.03455,0.000661071,0.000661071
3,226.426,1.1837,0.71825,0.97832,0.44059,0.62489,0.48764,0.32189,1.06717,1.44021,1.0019,0.00154976,0.000994202,0.000994202
4,294.536,1.11251,0.6636,0.94731,0.68778,0.531,0.55837,0.33923,1.09877,0.9033,0.99287,0.00099945,0.00099945,0.00099945
5,367.242,1.09107,0.6291,0.94977,0.75542,0.63475,0.69673,0.41408,1.05738,0.75253,0.96986,0.000999023,0.000999023,0.000999023
6,439.362,1.06067,0.61343,0.92919,0.74487,0.64873,0.69682,0.42166,0.99241,0.72625,0.95852,0.000998474,0.000998474,0.000998474
7,512.154,1.05034,0.60287,0.91768,0.8177,0.64818,0.71624,0.44005,1.05635,0.67885,0.98027,0.000997803,0.000997803,0.000997803
8,616.674,1.07622,0.60776,0.93925,0.70704,0.66251,0.71468,0.4409,1.04875,0.64324,0.9808,0.000997011,0.000997011,0.000997011
9,689.647,1.05332,0.59451,0.92346,0.73899,0.57275,0.62868,0.38002,1.11123,0.72914,1.00589,0.000996097,0.000996097,0.000996097
10,770.569,1.04911,0.58214,0.91996,0.86046,0.618,0.70172,0.42314,1.07432,0.63828,0.99044,0.000995062,0.000995062,0.000995062
11,837.771,1.01706,0.55635,0.91312,0.71811,0.64383,0.69924,0.42684,1.02545,0.62909,0.96605,0.000993906,0.000993906,0.000993906
12,905.368,0.98831,0.53325,0.90168,0.7013,0.77921,0.75172,0.47703,1.01642,0.60063,0.96813,0.000992629,0.000992629,0.000992629
13,979.262,0.99793,0.53635,0.90514,0.74044,0.6972,0.69163,0.41172,1.07068,0.70371,0.98282,0.000991232,0.000991232,0.000991232
14,1046.53,0.95905,0.52839,0.89988,0.83018,0.66256,0.70644,0.44155,0.99536,0.61028,0.95707,0.000989715,0.000989715,0.000989715
15,1136.84,0.96683,0.52602,0.89853,0.76391,0.70982,0.73138,0.45267,1.00852,0.6047,0.95771,0.000988079,0.000988079,0.000988079
16,1204.43,0.96111,0.50777,0.88691,0.78006,0.72197,0.76485,0.48979,0.97221,0.54896,0.96088,0.000986323,0.000986323,0.000986323
17,1270.57,0.9463,0.50373,0.8934,0.80809,0.67741,0.72995,0.45733,0.99574,0.61785,0.96308,0.000984449,0.000984449,0.000984449
18,1337.48,0.92084,0.49587,0.90086,0.87368,0.69153,0.77185,0.48941,0.9995,0.58036,0.95859,0.000982456,0.000982456,0.000982456
19,1411.78,0.94371,0.51783,0.89431,0.82229,0.73563,0.78949,0.50574,0.97226,0.5633,0.9594,0.000980345,0.000980345,0.000980345
20,1485.16,0.95601,0.50554,0.89942,0.83354,0.64725,0.73576,0.45572,1.01234,0.61126,0.96488,0.000978118,0.000978118,0.000978118
21,1573.57,0.91167,0.49475,0.88477,0.88612,0.71467,0.7857,0.50765,0.97337,0.54226,0.95103,0.000975773,0.000975773,0.000975773
22,1647.1,0.91135,0.47844,0.88927,0.84087,0.73622,0.78508,0.49667,0.97758,0.54918,0.9438,0.000973312,0.000973312,0.000973312
23,1716.59,0.89282,0.47447,0.88266,0.85357,0.76178,0.81508,0.51312,1.00559,0.5384,0.95238,0.000970736,0.000970736,0.000970736
24,1783.9,0.92616,0.49006,0.872,0.84568,0.75085,0.80475,0.52732,0.96238,0.52721,0.94382,0.000968045,0.000968045,0.000968045
